game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020457,2021-03-16,BUF,N.J,3,2,3
2020020458,2021-03-16,NYI,WSH,3,1,3
2020020459,2021-03-16,BOS,PIT,1,2,3
2020020460,2021-03-16,CAR,DET,4,2,3
2020020461,2021-03-20,ARI,ANA,1,5,3
2020020462,2021-03-17,PHI,NYR,9,0,3
2020020463,2021-03-17,VAN,OTT,2,3,5
2020020464,2021-03-17,MTL,WPG,4,3,4
2020020465,2021-03-17,EDM,CGY,3,7,3
2020020466,2021-03-17,S.J,VGK,5,4,3
2020020467,2021-03-17,STL,L.A,4,1,3
2020020468,2021-03-18,BOS,BUF,1,4,3
2020020469,2021-03-18,PHI,NYI,3,4,3
2020020470,2021-03-18,CBJ,CAR,2,3,4
2020020471,2021-03-18,CHI,T.B,4,2,3
2020020472,2021-03-18,NSH,FLA,1,2,3
2020020473,2021-03-18,DAL,DET,3,2,3
2020020474,2021-03-18,WPG,EDM,2,1,3
2020020475,2021-03-18,MIN,COL,5,1,3
2020020476,2021-03-18,ARI,ANA,3,2,4
2020020477,2021-03-20,PIT,N.J,1,3,3
2020020478,2021-03-19,NYR,WSH,2,1,3
2020020479,2021-03-19,VAN,MTL,2,3,4
2020020480,2021-03-19,CGY,TOR,3,4,3
2020020481,2021-03-19,VGK,L.A,2,4,3
2020020482,2021-03-19,STL,S.J,2,3,5
2020020483,2021-04-20,BOS,BUF,0,2,3
2020020484,2021-03-20,PHI,NYI,6,1,3
2020020485,2021-03-20,CBJ,CAR,3,4,5
2020020486,2021-03-20,CHI,T.B,4,1,3
2020020487,2021-03-20,NSH,FLA,2,0,3
2020020488,2021-03-20,DAL,DET,0,3,3
2020020489,2021-03-20,VAN,MTL,6,5,5
2020020490,2021-03-20,CGY,TOR,2,0,3
2020020491,2021-03-20,WPG,EDM,4,2,3
2020020492,2021-03-20,MIN,COL,6,0,3
2020020493,2021-03-20,STL,S.J,2,5,3
2020020494,2021-04-09,PIT,N.J,4,6,3
2020020495,2021-03-21,VGK,L.A,3,1,3
2020020496,2021-03-22,BUF,NYR,5,3,3
2020020497,2021-03-22,CAR,CBJ,0,3,3
2020020498,2021-03-30,EDM,MTL,4,0,3
2020020499,2021-03-22,CGY,OTT,2,1,3
2020020500,2021-03-22,WPG,VAN,0,4,3
2020020501,2021-03-22,ANA,MIN,2,1,3
2020020502,2021-03-22,COL,ARI,1,5,3
2020020503,2021-03-22,L.A,S.J,2,1,3
2020020504,2021-03-23,N.J,PHI,3,4,3
2020020505,2021-03-23,FLA,CHI,3,2,3
2020020506,2021-03-23,DET,NSH,2,0,3
2020020507,2021-03-23,T.B,DAL,1,2,3
2020020508,2021-03-23,COL,ARI,7,5,5
